Area,Item,Element,2010,flag,2011,flag,2012,flag,2013,flag,2014,flag
Albania,Wheat,Producer Price (USD/tonne) (USD),279.41,,406.63,,360.61,,407.06,,360.8,
Albania,Barley,Producer Price (USD/tonne) (USD),308.31,,339.18,,316.23,,482.8,,432.02,
Albania,Maize,Producer Price (USD/tonne) (USD),289.05,,386.79,,360.61,,416.53,,354.47,
Albania,Rye,Producer Price (USD/tonne) (USD),292.51,,339.18,,316.23,,454.4,,416.72,
Albania,Oats,Producer Price (USD/tonne) (USD),346.57,,367.95,,343.04,,463.86,,374.25,
Austria,Wheat,Producer Price (USD/tonne) (USD),242.11,,218.06,,270.51,,196.57,,179.39,
Austria,Barley,Producer Price (USD/tonne) (USD),159.21,,218.06,,234.62,,185.94,,147.5,
Austria,Maize,Producer Price (USD/tonne) (USD),235.53,,206.94,,283.33,,200.55,,147.5,
Austria,Rye,Producer Price (USD/tonne) (USD),244.74,,276.39,,244.87,,162.04,,158.13,
Austria,Oats,Producer Price (USD/tonne) (USD),172.37,,211.11,,214.1,,187.27,,147.5,
Austria,Triticale,Producer Price (USD/tonne) (USD),172.37,,198.61,,241.03,,175.32,,158.13,
Bulgaria,Wheat,Producer Price (USD/tonne) (USD),165.99,,231.91,,265.79,,213.84,,213.33,
Bulgaria,Rice paddy,Producer Price (USD/tonne) (USD),353.06,,346.48,,325,,374.72,,487.13,
Bulgaria,Barley,Producer Price (USD/tonne) (USD),134.01,,222.27,,248.68,,226.73,,203.82,
Bulgaria,Maize,Producer Price (USD/tonne) (USD),188.44,,240.84,,233.55,,207.05,,188.87,
Bulgaria,Rye,Producer Price (USD/tonne) (USD),151.7,,195.92,,226.97,,214.52,,173.93,
Bulgaria,Oats,Producer Price (USD/tonne) (USD),160.54,,228.38,,236.84,,226.06,,229.64,
Bulgaria,Sorghum,Producer Price (USD/tonne) (USD),234.01,,255.69,,253.29,,202.97,,205.18,
Bulgaria,Triticale,Producer Price (USD/tonne) (USD),154.42,,195.57,,232.24,,226.73,,193.63,
Denmark,Wheat,Producer Price (USD/tonne) (USD),175.4,,269.59,,266.32,,272.32,,221.28,
Denmark,Barley,Producer Price (USD/tonne) (USD),179.32,,259.33,,273.75,,252.73,,200.94,
Denmark,Rye,Producer Price (USD/tonne) (USD),166.31,,239.55,,256.3,,221.74,,186.3,
Denmark,Oats,Producer Price (USD/tonne) (USD),164.35,,242.16,,256.65,,207.14,,179.88,
Denmark,Triticale,Producer Price (USD/tonne) (USD),181.11,,249.07,,270.12,,240.98,,197.01,
Belarus,Wheat,Producer Price (USD/tonne) (USD),136.22,,166.25,,161.31,,235.49,,205.23,
Belarus,Barley,Producer Price (USD/tonne) (USD),108.86,,152.49,,203.57,,216.22,,205.36,
Belarus,Maize,Producer Price (USD/tonne) (USD),247.62,,319.62,,309.88,,325.64,,303.21,
Belarus,Rye,Producer Price (USD/tonne) (USD),86.58,,102.87,,97.14,,123.01,,121.58,
Belarus,Oats,Producer Price (USD/tonne) (USD),70.96,,85.49,,135.67,,159.44,,149.99,
Belarus,Buckwheat,Producer Price (USD/tonne) (USD),348.29,,607.58,,396.2,,359.32,,324.8,
Belarus,Triticale,Producer Price (USD/tonne) (USD),89.3,,119.14,,184.74,,184.86,,180.81,
Estonia,Wheat,Producer Price (USD/tonne) (USD),243.55,,230.89,,291.86,,228.27,,203.8,
Estonia,Barley,Producer Price (USD/tonne) (USD),213.5,,256.29,,269.54,,200.29,,192.4,
Estonia,Rye,Producer Price (USD/tonne) (USD),208.32,,232.06,,233.81,,170.54,,157.84,
Estonia,Oats,Producer Price (USD/tonne) (USD),173.01,,193.44,,249.67,,129.81,,150.25,
Finland,Wheat,Producer Price (USD/tonne) (USD),193.42,,273.61,,260.26,,270.94,,225.9,
Finland,Barley,Producer Price (USD/tonne) (USD),148.68,,225,,239.74,,231.1,,175.41,
Finland,Rye,Producer Price (USD/tonne) (USD),210.53,,259.72,,274.36,,289.54,,260.45,
Finland,Oats,Producer Price (USD/tonne) (USD),152.63,,230.56,,238.46,,224.46,,166.11,
France,Wheat,Producer Price (USD/tonne) (USD),244.77,,268.49,,284.57,,246.75,,219.05,
France,Rice paddy,Producer Price (USD/tonne) (USD),398.41,,414.89,,354.79,,357.11,,434.84,
France,Barley,Producer Price (USD/tonne) (USD),202,,255.44,,258.84,,223.62,,197.44,
France,Maize,Producer Price (USD/tonne) (USD),245.4,,258.94,,275.45,,210.03,,176.35,
France,Rye,Producer Price (USD/tonne) (USD),213.21,,237.77,,264.73,,216.29,,186.64,
France,Oats,Producer Price (USD/tonne) (USD),172.86,,250.71,,266.45,,181.88,,150.1,
France,Triticale,Producer Price (USD/tonne) (USD),203.91,,234.91,,250.37,,199.76,,169.16,
Germany,Wheat,Producer Price (USD/tonne) (USD),197.37,,287.5,,283.33,,248.37,,211.82,
Germany,Barley,Producer Price (USD/tonne) (USD),164.47,,256.94,,258.97,,231.1,,189.09,
Germany,Maize,Producer Price (USD/tonne) (USD),206.58,,286.11,,278.21,,244.38,,199.86,
Germany,Rye,Producer Price (USD/tonne) (USD),169.74,,280.56,,260.26,,183.29,,186.7,
Germany,Oats,Producer Price (USD/tonne) (USD),171.05,,252.78,,242.31,,205.86,,180.99,
Germany,Triticale,Producer Price (USD/tonne) (USD),173.68,,266.67,,262.82,,209.85,,179.13,
Bosnia and Herzegovina,Wheat,Producer Price (USD/tonne) (USD),203.4,,277.3,,271.05,,220.7,,235.76,
Bosnia and Herzegovina,Barley,Producer Price (USD/tonne) (USD),182.31,,292.2,,254.61,,331.39,,256.82,
Bosnia and Herzegovina,Maize,Producer Price (USD/tonne) (USD),207.48,,265.96,,298.68,,256.69,,182.09,
Bosnia and Herzegovina,Rye,Producer Price (USD/tonne) (USD),280.95,,420.57,,363.82,,429.85,,273.81,
Bosnia and Herzegovina,Oats,Producer Price (USD/tonne) (USD),210.2,,309.22,,279.61,,217.3,,231,
Bosnia and Herzegovina,Triticale,Producer Price (USD/tonne) (USD),245.58,,398.58,,498.68,,262.8,,390.67,
Greece,Wheat,Producer Price (USD/tonne) (USD),209.41,,306.19,,298.64,,290.71,,310.49,
Greece,Rice paddy,Producer Price (USD/tonne) (USD),281.41,,315,,287.33,,317.55,,303.47,
Greece,Barley,Producer Price (USD/tonne) (USD),214.33,,283.97,,262.58,,260.28,,214.47,
Greece,Maize,Producer Price (USD/tonne) (USD),273.18,,297.94,,309.65,,263.88,,267.46,
Greece,Rye,Producer Price (USD/tonne) (USD),157.89,,250,,230.77,,180.19,,158.29,
Greece,Oats,Producer Price (USD/tonne) (USD),240.25,,250.68,,235.83,,242.64,,218.5,
Hungary,Wheat,Producer Price (USD/tonne) (USD),189.39,,256.06,,268.66,,213.56,,208.42,
Hungary,Rice paddy,Producer Price (USD/tonne) (USD),323.96,F,311.91,,300.12,,285.27,,273.98,
Hungary,Barley,Producer Price (USD/tonne) (USD),141.49,,249.12,,243.48,,208.22,,185.93,
Hungary,Maize,Producer Price (USD/tonne) (USD),181.42,,245.03,,252.09,,218.21,,178.74,
Hungary,Rye,Producer Price (USD/tonne) (USD),147.86,,230.27,,251,,180.3,,171.41,
Hungary,Oats,Producer Price (USD/tonne) (USD),165.26,,232.97,,247.15,,213.28,,221.44,
Hungary,Millet,Producer Price (USD/tonne) (USD),279.85,,375.04,,432.12,,381.22,,428.22,
Hungary,Sorghum,Producer Price (USD/tonne) (USD),178.07,,251.18,,250.86,,282.67,,189.49,
Hungary,Triticale,Producer Price (USD/tonne) (USD),140.92,,221.94,,242.64,F,197.24,F,174.72,
Hungary,Canary seed,Producer Price (USD/tonne) (USD),443.65,,706.6,,662.54,,657.24,,599.92,
Croatia,Wheat,Producer Price (USD/tonne) (USD),210.75,,261.8,,238.49,,196.8,,209.93,
Croatia,Barley,Producer Price (USD/tonne) (USD),174.68,,279.21,,226.8,,219.88,,215.78,
Croatia,Maize,Producer Price (USD/tonne) (USD),189.8,,225.09,,269.18,,184.81,,149.13,
Croatia,Rye,Producer Price (USD/tonne) (USD),236.43,,217.79,,265.8,,217.79,,213.39,
Croatia,Oats,Producer Price (USD/tonne) (USD),171.77,,241.2,,208.01,,189.42,,191.58,
Croatia,Triticale,Producer Price (USD/tonne) (USD),175.96,,229.78,,197.61,,171.7,,184.95,
Iceland,Barley,Producer Price (USD/tonne) (USD),,,,,351.89,,339.9,,334.41,
Ireland,Wheat,Producer Price (USD/tonne) (USD),209.29,,227.17,,282.82,,207.67,,,
Ireland,Barley,Producer Price (USD/tonne) (USD),206.95,,245.25,,270.54,,210.88,,,
Ireland,Oats,Producer Price (USD/tonne) (USD),193.45,,227.46,,273.87,,196.58,,,
Italy,Wheat,Producer Price (USD/tonne) (USD),236.18,,365.21,,329.36,,383.4,,378.44,
Italy,Rice paddy,Producer Price (USD/tonne) (USD),519.47,,635.42,,474.1,,531.13,,716.91,
Italy,Maize,Producer Price (USD/tonne) (USD),220.92,,316.25,,288.46,,299.63,,248.76,
Italy,Oats,Producer Price (USD/tonne) (USD),235.66,,332.64,,305.51,,249.83,,256.6,
Latvia,Wheat,Producer Price (USD/tonne) (USD),218.87,,278,,270.91,,243.75,,205.97,
Latvia,Barley,Producer Price (USD/tonne) (USD),175.47,,238,,252.73,,213.52,,172.75,
Latvia,Rye,Producer Price (USD/tonne) (USD),150.94,,240,,227.27,,198.4,,155.47,
Latvia,Oats,Producer Price (USD/tonne) (USD),133.96,,188,,214.55,,156.83,,139.53,
Latvia,Buckwheat,Producer Price (USD/tonne) (USD),601.89,,302,,336.36,,302.33,,302.98,
Latvia,Triticale,Producer Price (USD/tonne) (USD),175.47,,230,,243.64,,200.29,,163.45,
Latvia,Grain mixed,Producer Price (USD/tonne) (USD),173.58,,238,,223.64,,181.4,,159.46,
Lithuania,Wheat,Producer Price (USD/tonne) (USD),215.15,,286.86,,273.43,,238.18,,209.22,
Lithuania,Barley,Producer Price (USD/tonne) (USD),171.58,,248.73,,257.87,,236.1,,186.31,
Lithuania,Maize,Producer Price (USD/tonne) (USD),239.85,,251.77,,263.69,,221.45,,194.36,
Lithuania,Rye,Producer Price (USD/tonne) (USD),150.35,,244.13,,226.16,,180.26,,155.07,
Lithuania,Oats,Producer Price (USD/tonne) (USD),117.96,,221.31,,206.98,,156.37,,133.15,
Lithuania,Buckwheat,Producer Price (USD/tonne) (USD),674.23,,485.92,,382.69,,354.47,,349.7,
Lithuania,Triticale,Producer Price (USD/tonne) (USD),181.19,,224.41,,241.68,,193.6,,167.36,
Lithuania,Grain mixed,Producer Price (USD/tonne) (USD),166.38,,211.95,,226.72,,194.41,,201.14,
Republic of Moldova,Wheat,Producer Price (USD/tonne) (USD),129.38,,169.31,,203.34,,146.58,,141.49,
Republic of Moldova,Barley,Producer Price (USD/tonne) (USD),140.25,F,183.54,F,220.42,F,158.9,,142.7,
Republic of Moldova,Maize,Producer Price (USD/tonne) (USD),182.51,,198.54,,239.91,,141.18,,138.99,
Republic of Moldova,Rye,Producer Price (USD/tonne) (USD),168.02,F,219.88,F,264.06,F,190.36,,116.34,
Republic of Moldova,Oats,Producer Price (USD/tonne) (USD),147.9,F,193.54,F,232.43,F,167.56,,146.12,
Republic of Moldova,Millet,Producer Price (USD/tonne) (USD),,,,,,,139.59,,154.02,
Republic of Moldova,Sorghum,Producer Price (USD/tonne) (USD),91.51,F,119.76,F,143.82,F,103.68,,146.05,
Republic of Moldova,Buckwheat,Producer Price (USD/tonne) (USD),432.26,F,565.66,F,679.34,F,489.72,,791.64,
Netherlands,Wheat,Producer Price (USD/tonne) (USD),211.46,,268.63,,287.19,,258.75,,210.01,
Netherlands,Barley,Producer Price (USD/tonne) (USD),226.09,,287.57,,288.26,,240.26,,202.36,
Netherlands,Triticale,Producer Price (USD/tonne) (USD),221.64,,254.17,,288.46,,226.4,,184.32,
The former Yugoslav Republic of Macedonia,Wheat,Producer Price (USD/tonne) (USD),225.57,,333.57,,316.98,,305.91,,246.33,
The former Yugoslav Republic of Macedonia,Rice paddy,Producer Price (USD/tonne) (USD),459.92,,470.62,,377.58,,377.41,,472.67,
The former Yugoslav Republic of Macedonia,Barley,Producer Price (USD/tonne) (USD),167.44,,294.83,,284.86,,243.99,,206.43,
The former Yugoslav Republic of Macedonia,Maize,Producer Price (USD/tonne) (USD),225.58,,333.31,,279.61,,280.82,,284.07,
The former Yugoslav Republic of Macedonia,Rye,Producer Price (USD/tonne) (USD),177.26,,195.95,F,171.78,F,188.83,F,235.24,
The former Yugoslav Republic of Macedonia,Oats,Producer Price (USD/tonne) (USD),187.26,,303.99,,294.22,,372.04,,328.07,
Norway,Wheat,Producer Price (USD/tonne) (USD),382.62,,426.61,,451.81,,473.29,,444.24,
Norway,Barley,Producer Price (USD/tonne) (USD),342.22,,395.89,,395.7,,420.98,,401.57,
Norway,Rye,Producer Price (USD/tonne) (USD),348.01,,386.96,,414.97,,464.43,,430.07,
Norway,Oats,Producer Price (USD/tonne) (USD),309.6,,356.07,,358.35,,381.97,,366.54,
Norway,Triticale,Producer Price (USD/tonne) (USD),349.5,,381.79,,396.04,,450.46,,,
Czech Republic,Wheat,Producer Price (USD/tonne) (USD),166.46,,265.11,,247.03,,261.21,,241.02,
Czech Republic,Barley,Producer Price (USD/tonne) (USD),164.09,,256.34,,251.77,,264.27,,247.21,
Czech Republic,Maize,Producer Price (USD/tonne) (USD),172.28,,266.53,,241.21,,258.75,,205.26,
Czech Republic,Rye,Producer Price (USD/tonne) (USD),149.71,,267.61,,261.15,,236.21,,189.72,
Czech Republic,Oats,Producer Price (USD/tonne) (USD),137.8,,208.73,,210.49,,251.65,,235.88,
Czech Republic,Triticale,Producer Price (USD/tonne) (USD),,,,,225.66,,235.09,,186.97,
Poland,Wheat,Producer Price (USD/tonne) (USD),199,,278.31,,275.38,,252.28,,217.25,
Poland,Barley,Producer Price (USD/tonne) (USD),163.46,,256.61,,252.92,,232.97,,200.1,
Poland,Maize,Producer Price (USD/tonne) (USD),196.68,,230.85,,225.23,,212.4,,173.1,
Poland,Rye,Producer Price (USD/tonne) (USD),140.2,,252.88,,229.23,,175.36,,169.61,
Poland,Oats,Producer Price (USD/tonne) (USD),115.61,,220.68,,202.46,,169.03,,162.62,
Poland,Millet,Producer Price (USD/tonne) (USD),260.8,,319.32,,279.38,,326.03,,335.09,
Poland,Buckwheat,Producer Price (USD/tonne) (USD),537.87,,602.37,,347.08,,364.02,,379.87,
Poland,Triticale,Producer Price (USD/tonne) (USD),156.48,,247.12,,248,,207.33,,188.35,
Portugal,Wheat,Producer Price (USD/tonne) (USD),218.03,,279.72,,332.05,,307.6,,,
Portugal,Rice paddy,Producer Price (USD/tonne) (USD),357.63,,409.03,,380.38,,359.66,,,
Portugal,Barley,Producer Price (USD/tonne) (USD),183.82,,270.69,,276.03,,268.55,,,
Portugal,Maize,Producer Price (USD/tonne) (USD),269.87,,286.53,,306.67,,224.19,,,
Portugal,Rye,Producer Price (USD/tonne) (USD),197.11,,226.67,,256.92,,278.91,,,
Portugal,Oats,Producer Price (USD/tonne) (USD),187.5,,266.39,,276.15,,265.37,,,
Portugal,Triticale,Producer Price (USD/tonne) (USD),189.21,,270.56,,278.97,,264.17,,,
Romania,Wheat,Producer Price (USD/tonne) (USD),186.12,,289.47,,263.01,,255.47,,227.25,
Romania,Barley,Producer Price (USD/tonne) (USD),182.97,,299.34,,289.02,,312.57,,269.12,
Romania,Maize,Producer Price (USD/tonne) (USD),223.97,,328.95,,300.58,,300.55,,227.25,
Romania,Oats,Producer Price (USD/tonne) (USD),252.37,,371.71,,349.71,,336.61,,287.06,
Russian Federation,Wheat,Producer Price (USD/tonne) (USD),127.37,,174.22,,208.49,,211.13,,182.06,
Russian Federation,Rice paddy,Producer Price (USD/tonne) (USD),364.66,,332.78,,288.97,,375.53,,339.46,
Russian Federation,Barley,Producer Price (USD/tonne) (USD),111.82,,170.05,,192.03,,200.47,,146.63,
Russian Federation,Maize,Producer Price (USD/tonne) (USD),154.18,,201.81,,219.62,,206.91,,154.14,
Russian Federation,Rye,Producer Price (USD/tonne) (USD),112.35,,133.83,,147.01,,154.44,,124.7,
Russian Federation,Oats,Producer Price (USD/tonne) (USD),118.45,,153.31,,149.54,,181.79,,131.99,
Russian Federation,Millet,Producer Price (USD/tonne) (USD),126.22,,175.92,,129.54,,164.78,,149.1,
Russian Federation,Buckwheat,Producer Price (USD/tonne) (USD),268.54,,534.65,,342.78,,226.53,,222.49,
Slovenia,Wheat,Producer Price (USD/tonne) (USD),178.55,,268.19,,250.77,,241.33,,224.71,
Slovenia,Barley,Producer Price (USD/tonne) (USD),142.63,,251.11,,230.26,,236.4,,203.71,
Slovenia,Maize,Producer Price (USD/tonne) (USD),204.08,,236.53,,256.15,,225.6,,166.5,
Slovenia,Rye,Producer Price (USD/tonne) (USD),194.47,,268.89,,281.54,,253.07,,219.79,
Slovenia,Oats,Producer Price (USD/tonne) (USD),233.82,,260.42,,213.85,,270.67,,278.79,
Slovenia,Buckwheat,Producer Price (USD/tonne) (USD),1021.45,,970,,859.36,,871.73,,,
Slovenia,Triticale,Producer Price (USD/tonne) (USD),189.87,,307.08,,234.87,,216.27,,204.51,
Slovakia,Wheat,Producer Price (USD/tonne) (USD),194.53,,273.38,,263.33,,231.63,,206.32,
Slovakia,Barley,Producer Price (USD/tonne) (USD),201.09,,290.88,,277.95,,267.9,,237.36,
Slovakia,Maize,Producer Price (USD/tonne) (USD),195.87,,232.06,,256.03,,229.39,,170.97,
Slovakia,Rye,Producer Price (USD/tonne) (USD),184.05,,270.57,,222.05,,191.06,,166.56,
Slovakia,Oats,Producer Price (USD/tonne) (USD),218.63,,284.99,,264.74,,282.17,,303.51,
Spain,Wheat,Producer Price (USD/tonne) (USD),229.61,,319.58,,317.82,,283.43,,,
Spain,Rice paddy,Producer Price (USD/tonne) (USD),338.55,,383.47,,354.62,,365.38,,,
Spain,Barley,Producer Price (USD/tonne) (USD),197.76,,270.56,,286.28,,240,,,
Spain,Maize,Producer Price (USD/tonne) (USD),240.53,,301.25,,298.72,,264.17,,,
Spain,Rye,Producer Price (USD/tonne) (USD),192.76,,255,,281.03,,225.12,,,
Spain,Oats,Producer Price (USD/tonne) (USD),183.82,,252.08,,278.33,,222.2,,,
Spain,Sorghum,Producer Price (USD/tonne) (USD),247.37,,277.78,,294.23,,255.01,,,
Spain,Triticale,Producer Price (USD/tonne) (USD),230,,286.39,,281.28,,,,,
Spain,Canary seed,Producer Price (USD/tonne) (USD),517.11,,555.56,,767.44,,,,,
Sweden,Wheat,Producer Price (USD/tonne) (USD),225.31,,277.35,,280.65,,256.41,,,
Sweden,Barley,Producer Price (USD/tonne) (USD),190.54,,244.99,,242.25,,207.27,,,
Sweden,Rye,Producer Price (USD/tonne) (USD),172.46,,255.78,,259.97,,204.2,,,
Sweden,Oats,Producer Price (USD/tonne) (USD),151.6,,212.63,,214.18,,185.78,,,
Sweden,Triticale,Producer Price (USD/tonne) (USD),194.71,,243.45,,257.02,,227.23,,,
Switzerland,Wheat,Producer Price (USD/tonne) (USD),450,,519.1,,505.32,,512.64,,493.94,
Switzerland,Barley,Producer Price (USD/tonne) (USD),309.62,,360.67,,336.17,,341.04,,354.06,
Switzerland,Maize,Producer Price (USD/tonne) (USD),321.15,,342.7,,319.15,,316.22,,335.49,
Switzerland,Rye,Producer Price (USD/tonne) (USD),348.08,,401.12,,385.11,,401.48,,395.59,
Switzerland,Oats,Producer Price (USD/tonne) (USD),275,,314.61,,303.19,,314.06,,308.17,
Switzerland,Triticale,Producer Price (USD/tonne) (USD),302.88,,342.7,,337.23,,341.04,,355.16,
United Kingdom,Wheat,Producer Price (USD/tonne) (USD),203.08,,295.16,,306.35,,290.99,,257,
United Kingdom,Barley,Producer Price (USD/tonne) (USD),164.62,,258.06,,265.08,,247.19,,197.69,
United Kingdom,Oats,Producer Price (USD/tonne) (USD),155.38,,279.03,,301.59,,223.72,,181.22,
Ukraine,Wheat,Producer Price (USD/tonne) (USD),136.78,,167.25,,193.99,,171.15,,163.15,
Ukraine,Rice paddy,Producer Price (USD/tonne) (USD),295.72,,324.34,,294.24,,313.52,,401.21,
Ukraine,Barley,Producer Price (USD/tonne) (USD),120.28,,169.26,,197.5,,181.03,,148.94,
Ukraine,Maize,Producer Price (USD/tonne) (USD),156.93,,171.39,,189.61,,151.38,,152.16,
Ukraine,Rye,Producer Price (USD/tonne) (USD),99.87,,160.85,,164.46,,140.62,,112.05,
Ukraine,Oats,Producer Price (USD/tonne) (USD),96.6,,197.37,,189.11,,178.53,,129.84,
Ukraine,Millet,Producer Price (USD/tonne) (USD),130.48,,193.35,,150.44,,181.66,,188.61,
Ukraine,Buckwheat,Producer Price (USD/tonne) (USD),492.44,,600.75,,472.09,,335.42,,314.53,
Ukraine,Cereals nes,Producer Price (USD/tonne) (USD),128.21,,158.59,,182.35,,138.5,,133.85,
Belgium,Wheat,Producer Price (USD/tonne) (USD),205,,275.49,,286.28,,263.92,,219.04,
Belgium,Barley,Producer Price (USD/tonne) (USD),193.95,,240.99,,277.08,,230.08,,184.73,
Belgium,Rye,Producer Price (USD/tonne) (USD),143.55,,169.75,,190.71,,164.77,,146.25,
Belgium,Oats,Producer Price (USD/tonne) (USD),286.45,,314.18,,294.92,,165.85,,94.86,
Belgium,Triticale,Producer Price (USD/tonne) (USD),147.76,,167.18,,147.63,,126.64,,113.45,
Luxembourg,Wheat,Producer Price (USD/tonne) (USD),209.21,,252.08,,295.9,,222.6,,198.53,
Luxembourg,Barley,Producer Price (USD/tonne) (USD),164.87,,223.75,,256.79,,195.24,,173.02,
Luxembourg,Maize,Producer Price (USD/tonne) (USD),213.42,,253.33,,282.05,,265.63,,170.09,
Luxembourg,Rye,Producer Price (USD/tonne) (USD),171.18,,215.83,,224.36,,173.72,,155.34,
Luxembourg,Oats,Producer Price (USD/tonne) (USD),125,,211.81,,230.77,,169.74,,135.67,
Luxembourg,Triticale,Producer Price (USD/tonne) (USD),167.76,,229.17,,262.82,,185.01,,160.52,
Luxembourg,Grain mixed,Producer Price (USD/tonne) (USD),125,,173.61,,224.36,,168.41,,127.57,
Serbia,Wheat,Producer Price (USD/tonne) (USD),165.95,,246.05,,245.08,,206.09,,201.93,
Serbia,Barley,Producer Price (USD/tonne) (USD),160.56,,258.32,,250.89,,236.97,,203.06,
Serbia,Maize,Producer Price (USD/tonne) (USD),173.26,,232.42,,236.43,,188.24,,159.42,
Serbia,Rye,Producer Price (USD/tonne) (USD),259.77,,280.94,,316.88,,214.07,,190.85,
Serbia,Oats,Producer Price (USD/tonne) (USD),178.01,,310.39,,215.67,,270.08,,190.74,
,,,,,,,,,,,,
,Official data,,,,,,,,,,,
F,FAO estimate,,,,,,,,,,,
,,,,,,,,,,,,
FAOSTAT 2016, Date : 31,1,2016,,,,,,,,,
